,nofinesset,rs,coordx,coordy
25254,850008558,SAVS ARIA,"361,255.8","6,627,541.1"
25255,840014559,SELARL PHARMACIE CATENNE,"865,179.8","6,315,321.6"
25256,850007378,FOYER DE JEUNES TRAVAILLEURS,"328,032.8","6,650,081.4"
25257,840015499,FV LA MAISON DU PARC AUX CYPRES,"896,504.5","6,292,960.7"
25258,850002213,EHPAD RESIDENCE AU FIL DES MAINES,"382,527.1","6,647,045"
25259,850002445,CSI ST HILAIRE DES LOGES,"418,949","6,603,323.2"
25260,850003146,EHPAD LES MIMOSAS,"331,241","6,640,386"
25261,850002163,EHPAD LA REYNERIE,"320,621.6","6,664,750"
25262,850003765,MAISON DE RETRAITE STE THERESE,"391,163.6","6,596,238.8"
25263,850003955,EHPAD SAINTE MARIE,"344,661.5","6,606,888"
25264,850003898,EHPAD SAINT DENIS,"395,527.8","6,595,032"
25265,850003294,EHPAD LA SMAGNE,"388,961.8","6,613,758.4"
25266,850003567,EHPAD PIERRE GENAIS,"355,170.4","6,606,523.1"
25267,850006255,PHARMACIE BRIEAU-PICHAUD,"370,695.4","6,661,485.6"
25268,850006891,SOS AMBULANCES,"328,821.8","6,625,743.9"
25269,850005810,SERVICE D AIDE MENAGERE,"417,840.7","6,609,876.9"
25270,850005901,SERVICE D AIDE MENAGERE,"401,043.2","6,609,630.1"
25271,850006917,AMBULANCES NAULLEAU,"401,423.7","6,621,433.2"
25272,850007782,BDSM AMBULANCES,"373,372.9","6,660,590.5"
25273,850007501,AMBULANCES RENOUX MARC,"301,541.7","6,665,914.7"
25274,850007766,AMBULANCES MONTACUTAINES,"372,922","6,662,026.7"
25275,850011131,CSI LES LUCS SUR BOULOGNE,"357,872.9","6,647,990.1"
25276,850009341,SAVS LA LARGERE,"402,820.4","6,618,827.3"
25277,850012238,CENTRE MEDICO SCOLAIRE,"333,667.9","6,610,792.8"
25278,850011115,CSI MAREUIL SUR LAY DISSAIS,"376,576.8","6,612,691.4"
25279,850008806,AMBULANCE GUIVARCH,"322,771.2","6,634,182.8"
25280,850009440,SAVS AREAMS,"361,603.7","6,626,589.5"
25281,850012279,FOYER LES QUATRE VENTS,"300,139.3","6,665,465.3"
25282,840015788,SELARL B3,"860,362.3","6,328,263.7"
25283,850012063,CENTRE DENTAIRE MUTUALISTE,"333,855.6","6,610,917.4"
25284,850014788,PHARMACIE DU CENTRE,"390,237","6,629,573.4"
25285,850012527,IFSO VENDEE,"362,713.1","6,627,056.9"
25286,850014838,PHARMACIE DE LA BOUSSOLE,"336,617.7","6,609,869.1"
25287,850014713,PHARMACIE CHEVILLON,"328,386.3","6,649,893.9"
25288,850014804,PHARMACIE DE LA POSTE,"390,497.5","6,628,839.4"
25289,850014564,PHARMACIE HAUDEBOURG  - LIBEAU,"316,433.5","6,658,398.7"
25290,850014846,PHARMACIE LEEUWS-GUILLOTON,"336,994.2","6,611,376.3"
25291,850015058,PHARMACIE DE LA VENDEE,"408,152","6,603,210.6"
25292,850014937,PHARMACIE VAN VLIET-BELIN,"412,784.4","6,586,158.7"
25293,850015066,PHARMACIE DU PORTEAU,"407,881.3","6,604,339.9"
25294,850015389,PHARMACIE DUMOULIN - MAURY - DUMOULIN,"343,787.1","6,623,767.7"
25295,850015363,PHARMACIE  RECULEAU - BIZON,"372,859.1","6,661,981.6"
25296,850015496,PHARMACIE DUBOIS PIGEANNE,"308,925.5","6,649,467.7"
25297,850015181,PHARMACIE GUYON,"396,356.6","6,588,889.4"
25298,850015579,PHARMACIE DU CENTRE,"356,122.2","6,639,612.4"
25299,850016023,PHARMACIE NAULET,"386,875","6,611,623"
25300,850015793,PHARMACIE AQUITAINE,"334,838","6,610,319.7"
25301,850015959,ESPACE SANTE DU BOCAGE,"382,457.7","6,647,856.4"
25302,850016031,PHARMACIE CHAUVEAU,"388,951.8","6,614,033.6"
25303,850016080,PHARMACIE ATLANTIQUE,"316,406.4","6,645,793.8"
25304,850016718,RESIDENCE MATERNELLE,"360,756.4","6,628,039"
25305,850016312,PHARMACIE SAVARIS,"394,306.3","6,649,098.3"
25306,850016585,EHPAD LA CLERGERIE,"336,802.9","6,632,939.4"
25307,850016569,EHPAD L'AGARET,"329,892.9","6,623,021.4"
25308,850016841,ATELIER LA SIMBRANDIERE,"361,670.7","6,627,306.8"
25309,850016866,CMPI ADULTES L'ARC EN CIEL,"361,774.5","6,628,419.2"
25310,850018466,HDJ  ADULTES  CMP CATTP  LES HERBIERS,"394,537.2","6,649,400.2"
25311,850020207,AIRE STATIONNEMENT NOMADES,"414,339.6","6,622,288.1"
25312,850019746,PHARMACIE OCEANE,"367,738.7","6,590,523.6"
25313,850020389,EHPAD CH FONTENAY,"407,269.8","6,603,536.9"
25314,850020405,EHPAD CHD HENRY RENAUD,"379,967.5","6,603,076.5"
25315,850020637,CMP ADULTES SITE LA CHATAIGNERAIE,"414,080.6","6,623,341.1"
25316,850021312,MAS LA MADELEINE,"320,471.7","6,664,640.4"
25317,850021718,PHARMACIE FILLOUX SANTE,"394,039.6","6,647,181.2"
25318,850022443,EHPAD MULTISITES TERRES DE MONTAIGU,"373,683.4","6,658,569.5"
25319,850023136,EHPAD LES ORETTES,"410,584.3","6,615,240.6"
25320,850024423,MAS LES CHANTERELLES,"360,326.6","6,633,760.8"
25321,850023722,PHARMACIE BAUDET,"398,380.4","6,654,412.5"
25322,850025172,EHPAD LES HIRONDELLES,"389,074","6,653,366"
25323,850023961,EHPAD LA CHARMILLE,"400,613","6,639,835.6"
25324,850025289,SERVICE D'AIDE MENAGERE,"333,321.4","6,610,801"
25325,850025297,CENTRECOMMUNAL D ACTION SOCIALE,"380,168.9","6,603,362.3"
25326,850024712,EHPAD LE HOME DU VERGER,"338,586","6,638,437.7"
25327,850025339,SERVICE D'AIDE MENAGERE,"418,902.3","6,603,360.4"
25328,840016869,ACT HABITAT ET SOINS 84,"845,403.2","6,316,834.5"
25329,850018284,FOYER D'HEBERGEMENT DES HERBIERS,"394,134.6","6,648,171.1"
25330,860010909,"LIEU DE VIE ""LE CHANT D'OISEAUX""","499,677.7","6,563,846.7"
25331,850016650,ESAT ANNEXE LA ROCHE/YON,"349,078","6,637,527.2"
25332,860012061,RESIDENCE CECILE ET MARIE-ANNE,"496,813.3","6,612,676.8"
25333,860011717,RES SOC FJT LA CLOSERAIE,"521,548.4","6,572,809.3"
25334,860005396,LIEU ACCUEIL DES JEUNES EN INST.,"488,575","6,606,754.6"
25335,860000041,USLD - CHU - SITE DE LUSIGNAN,"479,440.2","6,596,843"
25336,860006113,PHARMACIE DE LA PIERRE LEVEE,"498,233.9","6,611,458.3"
25337,860005735,CENTRE MEDICO PSYCHO. PRE-MEDARD,"498,225.9","6,610,300.3"
25338,860005727,C.M.P. & CTRE D'ECOUTE - ESPACE VIENNE,"498,438.3","6,610,300.5"
25339,860006964,AMBULANCE 86 SECOURS,"533,314","6,633,579.7"
25340,860006683,AMBULANCE MELUSINE,"479,715.2","6,597,184.7"
25341,860007814,AMBULANCE SANTIER,"524,790.7","6,653,139.3"
25342,860007657,AMBULANCES GAUTIER BOURDAIN (2),"478,604.7","6,642,359.7"
25343,860008622,ESAT DU HAUT POITOU,"490,530.7","6,624,047.2"
25344,860780014,THERMES DU CONNETABLE,"533,156.5","6,634,126.1"
25345,860780121,IME LES PAPILLONS BLANCS - MAUROC,"496,629.2","6,608,286.7"
25346,860010404,EXTERNAT MEDICO-PSYCHO. DE L'ENFANT,"500,457.9","6,609,447"
25347,860782168,CENTRE DE SANTE,"524,905.3","6,591,786.5"
25348,860780923,RESIDENCE DES COUDRAIS,"491,200.9","6,563,531.4"
25349,860780758,RESIDENCE LES RENARDIERES,"511,729.2","6,636,386.8"
25350,860782218,CENTRE SOCIAL,"496,304.4","6,610,625.3"
25351,860780808,FOYER-LOGEMENT,"478,276","6,660,966.9"
25352,860782374,CENTRE MEDICO-PSYCHO. ENFANTS ET ADO.,"478,484.2","6,660,928.4"
25353,860782515,EQUIPE DE PREV. SPECIALISEE - ADSEA,"497,975.2","6,614,783.3"
25354,860784610,FOYER HEBERGEMENT - ESAT ESSOR,"501,061.5","6,607,863.2"
25355,860785914,SERV. PREST. AIDE A DOM. - CCAS,"497,481.1","6,614,471.9"
25356,860786342,PHARMACIE MARCHON - MASSET,"495,413.7","6,611,594.9"
25357,860787571,PHARMACIE TROUCHE-METAYER,"497,295.1","6,612,412.9"
25358,860786896,SOCIETE MACOUIN,"478,445.3","6,641,929.4"
25359,860786409,PHARMACIE DU BERRY,"513,436.3","6,638,217.5"
25360,860786565,PHARMACIE CATON - MARIE-AGNES,"511,999","6,637,939.9"
25361,860786466,PHARMACIE DU PLANTY,"497,389.3","6,613,935.7"
25362,860786540,PHARMACIE NIOGRET-SANANIKONE,"511,621.8","6,637,020.7"
25363,860787456,PHARMACIE BONENFANT - CHEMINEAULT,"493,960","6,617,539.9"
25364,860787274,PHARMACIE SAINT NICOLAS,"536,295.1","6,593,869.2"
25365,860787555,PHARMACIE ARBEAUD PHARMACIE MODERNE,"491,818.7","6,563,786"
25366,860786730,PHARMACIE GASTON-SICARD,"498,392.9","6,619,888.7"
25367,860787514,PHARMACIE THOMAS,"523,509.9","6,585,338.3"
25368,860788033,FOYER EDITH AUGUSTIN,"495,070.1","6,613,806.3"
25369,860788090,FOYER RESTAURANT,"536,497.7","6,609,463.9"
25370,860789775,ESAT LES CHEVAUX BLANCS,"479,572","6,661,637.9"
25371,860790195,RESIDENCE DU CHAMP DU CHAIL,"483,401.4","6,582,277.7"
25372,860789916,EHPAD DE CHAUNAY,"481,371","6,571,313.5"
25373,860789650,EHPAD - LE BELVEDERE SAINTE CLOTILDE,"482,933.1","6,619,321.4"
25374,860790625,EHPAD LES ALBIZZIAS,"549,137.9","6,598,121.9"
25375,860791078,PHARMACIE DES CHENES,"491,239.8","6,608,157.3"
25376,860791201,PHARMACIE DUPONT,"498,180.7","6,601,074.2"
25377,860791128,EHPAD LES ROUSSELIERES,"529,157","6,628,898.4"
25378,860793405,ETS CONVALESC. P ALCOOLIQUES - PAYROUX,"506,730.4","6,572,376.4"
25379,870000197,ITEP SUZANNE LEGER,"544,750.6","6,573,324.7"
25380,870000205,I M E RENE BONNEFOND,"575,709.4","6,522,402.2"
25381,870000908,CENTRE BOBILLOT LIMOGES,"563,656.2","6,527,001.8"
25382,870000726,CAMSP DE L'ALSEA,"563,406.6","6,525,255.9"
25383,870002110,CTRE MEDICO-PSYCHO-PEDAGOGIQUE,"583,115.3","6,526,865.6"
25384,870002516,CTRE HOSPITAL MOYEN SEJOUR ST JUNIEN,"538,164.3","6,534,894"
25385,870002987,IFMKDV DE L'APSAH,"562,438.9","6,525,398.1"
25386,870003183,CLINIQUE DENTAIRE CPAM,"565,698.6","6,527,459.8"
25387,870003878,RESIDENCE LES CHENEBEAUX,"582,015.2","6,553,888.4"
25388,870004249,MAH HOME DU BUISSON,"562,593.3","6,525,214.1"
25389,870003886,RESIDENCE FLEURIE,"562,445.3","6,524,608.9"
25390,870005790,UNITE SOINS DE LONGUE DUREE ST YRIEIX,"559,817.9","6,492,246"
25391,870006814,SERV REPAS DOMICILE CHATEAUNEUF-LA-FOR,"590,979.8","6,514,088.7"
25392,870008158,SERVICE DE REPAS A DOMICILE LAURIERE,"582,175","6,554,051"
25393,870007812,LIEU DE VIE LE BEAU RIVAGE,"555,504.5","6,523,657.7"
25394,870008133,USLD ST LEONARD,"582,766.1","6,527,343"
25395,870010642,EURL DES TROIS FONTAINES,"547,031.3","6,504,961.4"
25396,870010121,CENTRE DE SANTE DENTAIRE,"564,614.7","6,526,976.2"
25397,870010360,PHARMACIE POMMARET,"576,350.5","6,540,908.2"
25398,870009958,ATELIER PROTEGE STS LIMOGES,"565,939.9","6,532,476.8"
25399,870011913,PHARMACIE DU PUY LAS RODAS,"562,478.1","6,527,253.9"
25400,870012580,PHARMACIE LAFAYETTE CORGNAC,"562,910.1","6,528,353.6"
25401,870012242,PHARMACIE MONTMAILLER,"564,392.8","6,527,617.5"
25402,870012515,PHARMACIE DES CHARENTES,"564,224.2","6,527,785.5"
25403,870012747,PHARMACIE MARCEAU,"564,910.6","6,528,181.8"
25404,860007038,EHPAD - RESID. LES JARDINS DE CAMILLE,"498,173.9","6,610,173.4"
25405,850011743,MSEA,"343,970","6,622,116"
25406,860007368,"LIEU DE VIE ""SAINT NICOLAS""","509,582.5","6,603,212.5"
25407,860007848,EHPAD - RESIDENCE LES GRANDS CHENES,"521,823.7","6,573,404.7"
25408,850009796,SSIAD PH ADMR,"361,713.5","6,627,671.9"
25409,860010388,EHPAD RESIDENCE LOUIS ARAGON,"508,172.5","6,632,089.9"
25410,850011008,HDJ  INF JUV  CMP CATTP  LES HERBIERS,"394,428.8","6,648,769.7"
25411,860011170,EHPAD - RESIDENCE SAINT THIBAULT,"509,776.5","6,600,461"
25412,840016638,CHRS L'ANCRE,"850,981.6","6,315,716.5"
25413,850011669,LIEU DE VIE PASTINE,"420,842.5","6,610,373.9"
25414,860012285,SAAD ZOELUNE,"496,372","6,612,338.6"
25415,850017633,FAM MAPHAV,"412,229.6","6,605,000.8"
25416,850017716,SAVS ADAPEI CHALLANS,"328,538.1","6,649,806.3"
25417,840017867,LBM BIO-SANTIS SITE LE PONTET,"849,303","6,318,728.4"
25418,840017909,LBM BIOTOP SITE MAISON D'ASCLEPIOS,"847,858.6","6,317,970.9"
25419,840017917,LBM BIOAXIOME SITE AVIGNON SEMARD,"846,199.3","6,317,318.2"
25420,860012590,LA MAISON BLEUE - ACC. DE JOUR,"513,501.8","6,638,536.5"
25421,850018045,SERVICE MANDATAIRE JUDICIAIRE,"361,713.5","6,627,671.9"
25422,860012632,LABORATOIRE BIO 86 (3),"498,319.9","6,610,437.9"
25423,850018250,CTRE SANTE DENTAIRE CHATEAU D'OLONNE,"336,020.5","6,609,962.1"
25424,840018220,GCS APT AVIGNON ET SIEGE,"891,303.2","6,311,533.3"
25425,850018672,C2G AMBULANCES,"417,534.8","6,628,320.1"
25426,850018771,SERVICE D'ACCUEIL ET D'ORIENTATION,"362,251.3","6,628,407.5"
25427,860012806,LABORATOIRE BIO 86 (9),"491,889.9","6,564,749.9"
25428,840018451,MAISON RELAIS RHESO ORANGE,"844,473.4","6,339,502.2"
25429,840018469,LBM SYNLAB PROVENCE SITE SORGUES,"850,313.1","6,324,988.1"
25430,840018477,LBM  SYNLAB PROVENCE SITE APT/LA POSTE,"892,494","6,311,561.3"
25431,850019852,CLIC ENTOUR'AGE,"361,569.4","6,628,719.7"
25432,850020108,CLIC PAYS DE STE HERMINE L'HERMENAULT,"389,007.9","6,614,274.7"
25433,860012947,SERVICE MJPM DE L'ESAT ESSOR,"499,947","6,612,315.5"
25434,850020801,MAISON DE SANTE DE CHAILLE LES MARAIS,"391,030.9","6,595,919.7"
25435,850021494,RESIDENCE SOCIALE,"375,920.8","6,636,151.6"
25436,840018899,FOYER DE VIE LE MOULIN DE L'AURO,"865,861.5","6,314,726.7"
25437,860013309,RESIDENCE CECILE ET MARIE-ANNE,"496,813.3","6,612,676.8"
25438,840018980,SAPSAD PLURIELS,"839,451.5","6,356,821.4"
25439,850024977,SAVS HANDI ESPOIR,"338,215.5","6,633,155.2"
25440,850025040,ACCUEIL DE JOUR GRAINES DES VENTS,"359,498.8","6,634,051.7"
25441,850025735,SAVS VILLA COTTAGE,"367,736.6","6,644,855.5"
25442,850025750,SESSAD DI-TSA,"391,526.6","6,629,701.1"
25443,860013895,MSP DE ST GERVAIS LES TROIS CLOCHERS,"502,583.8","6,647,401.6"
25444,850026030,MARPA LA JOSINETTE,"319,807.9","6,656,444.9"
25445,850026113,GCS BIOLOGIE 85 LBM CH LUCON,"379,967.5","6,603,076.5"
25446,840019277,SAVS TOURVILLE,"892,602.1","6,311,539"
25447,840019285,FAM LA RESPELIDO,"843,930.4","6,345,739.2"
25448,850026253,IRM SITE CH LVO - CHALLANS,"328,998.5","6,650,037.8"
25449,860014273,ANTENNE PMI - RAM,"497,090.2","6,614,320.4"
25450,860014323,ANTENNE PMI - RAM,"500,360.6","6,588,909.7"
25451,850026295,EHPAD MULTISITES TERRES DE MONTAIGU,"377,027.3","6,660,489.7"
25452,850026410,POLE DE SANTÉ DU MARAIS,"322,432.9","6,651,783.2"
25453,850026550,ACCUEIL DE JOUR SADAPA,"362,541.2","6,627,448.9"
25454,860014547,SAD AM HOME SERVICES,"496,484","6,612,738"
25455,850026642,CENTRE DENTAIRE MUTUALISTE HERBIERS,"394,639.4","6,648,966"
25456,850026782,VIVRADOM,"360,739.5","6,609,363.1"
25457,840019657,ALPES PROVENCE MEDICAL (AP 2M),"901,856","6,289,584.6"
25458,860014661,ALIZE SANTE,"500,911.2","6,607,633.4"
25459,850026949,RESIDENCE LES SAISONNALES,"330,939.6","6,640,816.6"
25460,860014760,CABINET MEDICAL DE GENCAY,"500,746.7","6,589,357.4"
25461,850027202,LIEU DE VIE G2L,"329,177","6,649,726.3"
25462,840020069,MSP AVIGNON LE PONTET,"849,303","6,318,728.4"
25463,860014869,MSP DE MIREBEAU,"485,216.6","6,635,342.5"
25464,840020218,SERVICE DE SOINS SNCF,"845,070.5","6,317,606.7"
25465,840020234,MSP DES BEAUMETTES  (CALAVON),"877,054.7","6,309,057.4"
25466,840020291,MSP DE PERTUIS SUD LUBERON,"902,173.5","6,291,437.2"
25467,860015049,MSP DE LOUDUN,"478,793.7","6,660,769.5"
25468,890973530,FAM L'EVEIL DU SCARABEE,"696,145.1","6,738,910.2"
25469,890972011,EHPAD RESIDENCE LES FONTENOTTES,"787,598.3","6,742,108.5"
25470,890002447,EHPAD RESIDENCE DES COTEAUX,"749,393.3","6,738,652.2"
25471,890003627,CMPP MIGENNES,"738,715.4","6,762,799.5"
25472,890003957,PHARMACIE NOUVELLE,"745,990.5","6,765,880.2"
25473,890003759,LA FERME ROUSSEAU,"766,970.3","6,717,835.4"
25474,890000250,UNITE DE SOINS AUGUSTA PRIAULT CRF,"738,145.5","6,762,713.6"
25475,890971807,FAM JOSÉPHINE NORMAND,"746,550.5","6,766,124.4"
25476,890973167,SAVS LES BROUSSES RAVIERES,"792,513.6","6,738,172.9"
25477,890004401,PHARMACIE D'ETAIS LA SAUVIN,"725,783","6,711,543.7"
25478,890004435,PHARMACIE DE FLEURY,"733,834.5","6,752,152.8"
25479,890004484,PHARMACIE LOUIS,"741,861.5","6,751,691.7"
25480,890004567,PHIE BAUWENS-PHARMACIE DU MARCHE,"729,642.6","6,764,637.7"
25481,890004617,PHARMACIE TRAN,"729,538.1","6,764,700.5"
25482,890974173,CONSULT.PROTECTION INF.ZAC,"742,955.5","6,744,355.9"
25483,890004716,PHARMACIE CHOISY,"781,391.4","6,745,104.8"
25484,890974199,CONSULT.PROTECTION INF.AVALLON,"767,536.9","6,710,453"
25485,890971088,DISPENS.ANTI-TUBER. SENS,"720,854.4","6,788,688.7"
25486,890000011,CENTRE MATERNEL A MIGENNES,"738,145.5","6,762,713.6"
25487,890974256,CONSULT.PROTECTION INF.CHATEL,"747,754.3","6,714,734.7"
25488,890005051,PHARMACIE FILAINE-DELAHAYE,"715,188.7","6,798,611"
25489,890974306,CONSULT.PROTECTION INF.JOIGNY,"729,765.5","6,764,634.7"
25490,890005366,PHARMACIE DE LA BAULCHE,"740,117.9","6,744,626.2"
25491,890972573,CTRE PLANIF ET EDUC FAMILIALE,"721,918.8","6,737,199.7"
25492,890971914,CHRS THOMAS ANCEL,"743,333.7","6,744,539.7"
25493,890974611,EHPAD RESIDENCE LE CEDRE,"713,788.3","6,716,859.7"
25494,890974710,ASSOC D'AIDE AUX MERES ET FAMIL,"742,417.2","6,744,230.2"
25495,890005820,PHARMACIE MAUPERIN,"719,375.5","6,804,834.7"
25496,890006034,PHARMACIE  KUZMIK,"772,879.6","6,751,120.5"
25497,890002090,EHPAD LES HORTENSIAS,"754,246.2","6,766,920.9"
25498,890971021,C.M.P. AVALLON,"768,131.8","6,710,312.7"
25499,890002348,MAISON D'ENFANTS THEODORE DE BEZE,"718,662","6,786,491.9"
25500,890006463,FOYER DE VIE VEZELAY,"755,700.5","6,706,852.4"
25501,890006505,FOYER D'HEBERGEMENT APAJH,"720,639.3","6,789,410.3"
25502,890006810,SERVICE AIDE MENAGERE A DOMICILE,"705,345.4","6,742,181.9"
25503,890006851,SERVICE AIDE AUX PERSONNES AGEES,"707,192.1","6,753,924.2"
25504,890975519,CTRE HOSPITALIER SPECIALISE AUXERRE,"742,504.9","6,744,810.6"
25505,890975535,CH AVALLON,"768,161","6,710,339.2"
25506,890002272,EHPAD ST JULIEN DU SAULT,"722,097.2","6,770,335.9"
25507,890006992,SERVICE D AIDE MENAGERE A DOMICILE,"699,643.3","6,788,938.2"
25508,890007255,SERV.PREST.DOMICILE,"743,323","6,750,107.8"
25509,890005879,EHPAD LES RIVES D YONNE VILLENEUVE,"721,664.1","6,775,522"
25510,890007297,SERVICE AIDE MENAGERE A DOMICILE,"736,168.9","6,781,410.8"
25511,890002371,CLINIQUE KER YONNEC,"709,467.6","6,802,162.5"
25512,890971187,SERV.PREST.DOMICILE,"723,122","6,746,962.3"
25513,890971492,USLD AUXERRE CENTRE HOSPITALIER,"741,579.3","6,745,102.8"
25514,870016177,ESAT TRISOMIE 21 AQUITAINE 87,"564,820.5","6,527,850"
25515,890008170,ITEP ST GEORGES SUR BAULCHE,"740,225.9","6,744,833.9"
25516,890008360,IME DE VINCELLES,"747,476.8","6,733,453.2"
25517,890002678,EHPAD ABBE CHARRON CHEROY,"699,767","6,789,173"
25518,880003298,SESSAD AVSEA - EPINAL,"956,299.7","6,794,356.7"
25519,900001876,PHARMACIE ELS,"986,609.8","6,732,919.5"
25520,900001975,PHARMACIE KNOEPFLIN,"986,596.8","6,744,887.8"
25521,900002130,PHARMACIE DES FORGES,"989,817.3","6,735,398"
25522,900001330,PHARMACIE DEJEUX,"989,939.7","6,733,593.8"
25523,900002197,PHARMACIE DE LA BAROCHE,"994,004.3","6,737,257"
25524,900001744,PHARMACIE GOURSSIES,"987,838","6,735,170.1"
25525,900001231,PHARMACIE KUENTZ EMMANUELLE,"988,689.6","6,735,325.9"
25526,900003435,EHPAD RESIDENCE VAUBAN BELFORT,"990,052.2","6,733,706.2"
25527,900001181,PHARMACIE CENTRALE,"989,490.8","6,733,378.1"
25528,900001314,PHARMACIE DE LA SAVOUREUSE,"988,460","6,735,714.7"
25529,900001165,PHARMACIE BOFFY MARC,"989,486","6,733,529.4"
25530,900004185,FOYER-RESTAURANT POUR P. AGEES,"989,119.7","6,734,377"
25531,900003807,CENTRE CULTUREL,"990,488.7","6,736,130.7"
25532,900005190,ENTREPRISE ADAPTEE,"995,861.8","6,724,228.9"
25533,900004789,SPASAD CCAS BELFORT,"989,953.4","6,733,485.7"
25534,900005414,CTRE SANTE DENTAIRE MUTUALISTE BELFORT,"989,779.1","6,732,906"
25535,880006648,MAISON RELAIS,"899,577","6,809,476.2"
25536,870016227,SAPHAD,"602,223.9","6,516,330.3"
25537,870016094,SESSAD IME APAJH,"568,067.2","6,532,125.7"
25538,890003239,CSAPA - ANPAA 89,"743,117.1","6,746,300.4"
25539,910007889,IRM D EVRY,"659,444.7","6,836,895.3"
25540,910019298,CTRE DE SSR ALBERT CALMETTE,"662,760","6,846,338.7"
25541,910002799,SESSAD DE L YERRES,"663,869.7","6,844,368.7"
25542,870016631,CTRE PRISE EN CHARGE OBESITE,"558,589.1","6,492,863.1"
25543,880006507,"SESSAD ITEP ""LES IMAGES""  D'EPINAL","956,674.7","6,794,978.2"
25544,910010628,FAM LA MAISON VALENTINE,"648,191.8","6,824,298"
25545,910006329,HDJ MOSAIQUE,"651,067.1","6,836,670.3"
25546,870016334,SSIAD LIMOGES,"563,893.9","6,525,817.9"
25547,890004989,ECOLE D'AIDE SOIGNANT CH TONNERRE,"773,214.9","6,750,931"
25548,880000138,HOPITAL LOCAL VAL DU MADON MIRECOURT,"932,328.2","6,804,814.2"
25549,880001185,EQUIPE DE PREVENTION SPECIALISEE,"956,697.7","6,792,602.1"
25550,880000187,HOPITAL LOCAL DE LAMARCHE,"907,060.1","6,778,055.5"
25551,880002985,PHARMACIE LEMAIRE,"956,393.8","6,791,666.3"
25552,880004270,PHARMACIE DELAHAYE,"967,969","6,774,574.1"
25553,880001706,"MAISON RETRAITE ""JUSTINE PERNOT""","899,281.7","6,810,107.5"
25554,880004684,PHARMACIE BEAUX-DROUANT CATHERINE,"992,802.2","6,805,694.5"
25555,880002357,PHARMACIE LE PAIGE,"988,293.2","6,793,366.1"
25556,880004650,PHARMACIE MOUGEOT-CHARDOT,"992,824","6,805,486"
25557,880005913,ASSOCIATION A.D.M.R. DU VAL D'AJOL,"960,852.6","6,764,488.5"
25558,880780473,"IME ""CLAIR MATIN"" EPINAL","956,689.8","6,794,705.2"
25559,880005731,ASSOCIATION A.D.M.R. RAON L'ETAPE,"984,138.2","6,818,558.9"
25560,880006242,CMP/PLAC. FAMIL. THERAP. ENFANTS,"956,113.7","6,791,876.4"
25561,880781232,"IME ""CLAIR MATIN"" ST-AME","973,396.2","6,775,988.1"
25562,880781281,"FOYER ""LA BELLE AU BOIS DORMANT"" APF","957,314.5","6,794,149.5"
25563,880783360,MAISON RETRAITE SAINT JEAN,"943,295.9","6,783,060"
25564,880783261,FOYER D'ENFANTS DE RAON L'ETAPE,"984,641.4","6,818,681.1"
25565,880784004,CENTRE SOCIAL,"968,702.4","6,783,009.7"
25566,880785134,HOPITAL DE JOUR POUR ENFANTS D'EPINAL,"956,550.2","6,793,944.6"
25567,880784467,INSTITUT LA COURTINE,"969,180.3","6,773,004.1"
25568,880785266,SSIAD RATTACHE HL DE FRAIZE,"997,724","6,794,655"
25569,910014539,ACPPAV CENTRE HOCHE,"654,376.9","6,843,112.8"
25570,880786736,CENTRE SOCIAL,"956,336.1","6,791,380"
25571,880785688,HOPITAL DE JOUR/CMP ADULTES DE VITTEL,"919,373.5","6,793,266"
25572,880787965,"FOYER DE VIE ""LE PATIO""","992,435.9","6,805,108.2"
25573,880787494,CSAPA DE LA FMS,"967,939.8","6,774,607.3"
25574,880789185,MAISON DE RETRAITE SAINT JEAN,"947,858.2","6,810,078.2"
25575,880788906,AIDE A DOMICILE EN MILIEU RURAL,"958,601.2","6,792,766.2"
25576,880789086,FOYER D'HEBERGEMENT TREMPLIN,"973,239.2","6,776,021.9"
25577,880789276,RESID. PERS. AGEES  L'AGE D'OR,"992,611.5","6,806,019.4"
25578,880002217,PHARMACIE DROUOT-CRIDELICH,"943,803.2","6,813,017.4"
25579,880003082,PHARMACIE DE L'HOTEL DE VILLE,"997,307.2","6,794,714"
25580,880003553,PHARMACIE NODET,"910,051","6,781,973.1"
25581,880004783,PHARMACIE DE LA CHAUME,"969,324.9","6,774,884"
25582,880004833,PHARMACIE DU PROGRÈS,"994,883.9","6,803,937.6"
25583,880002233,PHARMACIE SABRINA STOUVENIN,"943,844.5","6,812,944.6"
25584,880001961,PHARMACIE DU HOHNECK,"988,213.5","6,773,695.4"
25585,880005533,PHARMACIE DES LACS,"992,254.9","6,783,073.6"
25586,910018928,RESIDENCE SOCIALE SAINT EXUPERY,"658,135.9","6,836,940.7"
25587,880005848,EHPAD LES BRUYERES,"954,944.8","6,791,998.1"
25588,870016243,L'AVEC 3 N,"568,778.6","6,527,388.7"
25589,910018936,RESIDENCE SOCIALE,"644,404.7","6,845,904.5"
25590,910000330,CHS BARTHELEMY DURAND,"637,505.4","6,815,905.4"
25591,910000223,CPMI D EPINAY SOUS SENART,"664,960.1","6,844,067.6"
25592,910008416,PHARMACIE DELOFFRE,"658,987.5","6,837,464.2"
25593,910000058,CSAPA GENERALISTE ATHIS-MONS,"653,862.5","6,844,460"
